"identity_key","decision","tier","subfield","cut_reason","from_audit_sample","note"
"doi:10.3997/2214-4609.202639027","in","context","reservoir_engineering","","","Open-DARTS-MCP exposes reservoir simulation through MCP for agentic workflows"
"doi:10.20944/preprints202512.0534.v1","out","","","not-geoscience","","seismic-resistant structural engineering, not solid-earth geoscience"
"doi:10.5281/zenodo.21513648","out","","","not-geoscience","","MCP security audit; CCS acronym collision"
"doi:10.2118/0326-0015-jpt","in","context","reservoir_engineering","","","JPT synopsis of SPE 226728, multiagent offshore production surveillance"
"doi:10.5281/zenodo.21234580","out","","","not-geoscience","","LLM agent conformance protocol; triage group 'ccs' is a false match on the CCS acronym"
"doi:10.5281/zenodo.20135911","out","","","not-geoscience","","AI forecasting audit note; no geoscience content"
"doi:10.5281/zenodo.20109894","in","context","reservoir_engineering","","","conceptual multi-agent reference architecture; authors state it is conceptual"
"doi:10.5281/zenodo.21271910","out","","","not-geoscience","","runtime verification of agentic systems; CCS acronym collision"
"doi:10.1007/s43503-026-00102-z","out","","","not-geoscience","","fiber-reinforced concrete design; structural/materials engineering"
"arxiv:2601.18381","in","core","seismology","","","AI agent reverse-engineers legacy finite-difference wave-propagation code into Devito; LangGraph, RAG, iterative multi-stage workflow"
"doi:10.2523/iptc-24776-ms","in","context","reservoir_engineering","","","self-supervised autonomous agent framework for re-assessment of existing wells; IPTC, likely paywalled"
"arxiv:2605.15028","in","core","reservoir_engineering","","","multi-agent history matching; agent configures optimizer, bounds, simulator runs"
"doi:10.1016/j.bdes.2026.100042","in","core","hydrogeology","","","GAGAW journal version (Chen); full text recovered from institutional access. Same system as the ESSOAr preprint already in this corpus (doi:10.22541/essoar.176336946.65126612/v1), kept as a separate identity_key per this review's rules. Config-driven agent chains inversion/fusion tools and self-tunes via a bounded re-inversion loop. M3 on three named US field sites (No-Name Experimental Watershed WY, Mt. Snodgrass CO, Dry Creek Experimental Watershed ID). Subfield corrected from inversion to hydrogeology (secondary inversion) to match the evaluation focus and the sibling preprint record. Promoted from context/abstract-only to core."
"doi:10.2118/226728-ms","in","context","reservoir_engineering","","","SPE original of the multiagent offshore surveillance system summarised in JPT 0326-0015"
"doi:10.3997/2214-4609.202576039","in","context","seismology","","","EAGE abstract; synthetic data generation plus agentic workflows for subsurface"
"doi:10.5281/zenodo.19362413","out","","","not-a-source","","podcast episode"
"doi:10.5281/zenodo.19078873","out","","","duplicate","","GeoSAGE outputs deposit; the code deposit zenodo.19078874 is retained for this system"
